countries,topics,section_title,enb_start_date,enb_short_title,subtype,actors,enb_url,enb_long_title,type,id,enb_end_date
"India|Iran|United States|Senegal|Brazil|Germany|Canada|Antigua and Barbuda|Panama|Saudi Arabia|Costa Rica|France|Switzerland|China","Financial Mechanisms and Funds 1","FINANCIAL AND TECHNICAL COOPERATION","27-Feb-96","2nd Session SBSTA & SBI","","Group of 77|European Union","http://www.iisd.ca/vol12/1226000e.html","Second Session Subsidiary Body for Scientific and Technological Advice (SBSTA) and the Subsidiary Body for Implementation (SBI)","SBI","1226000e_16","04-Mar-96"
"","","CLOSING PLENARIES","28-Nov-11","COP17","PLENARY","","http://www.iisd.ca/vol12/enb12534e.html","Durban Climate Change Conference - COP17/CMP7","","enb12534e_120","09-Dec-11"
"Japan|United States","","CAPACITY BUILDING UNDER THE CONVENTION:","07-Dec-08","COP/MOP3","","European Union","http://www.iisd.ca/vol12/enb12347e.html","United Nations Climate Change Conference - Bali","","enb12347e_6","07-Dec-08"
"Canada|Norway|China|Chile|Saudi Arabia|Switzerland","","AWG ISSUES:","11-Nov-06","COP/MOP2","","Group of 77|European Union","http://www.iisd.ca/vol12/enb12312e.html","UN Climate Change Conference – Nairobi 2006","","enb12312e_10","11-Nov-06"
"United States","","PROGRAMME BUDGET","10-Jun-03","SB-18","","","http://www.iisd.ca/vol12/enb12215e.html","18th Session of the Subsidiary Bodies","","enb12215e_2","10-Jun-03"
"Nepal|Belize|China|Australia|Nauru|Panama|Switzerland|Saudi Arabia|Costa Rica|Indigenous Peoples|Bolivia|Sudan|South Africa","Post-Kyoto Agreements 1","OPENING STATEMENTS:","03-Dec-14","COP 20","","Group of 77|Brazil, South Africa, India and China|Central American Integration System|Alliance of Small Island States|Umbrella Group|European Union|Environmental Integrity Group|Independent association of Latin America and the Caribbean|League of Arab States|Coalition for Rainforest Nations|African Group","http://www.iisd.ca/vol12/enb12610e.html","Lima Climate Change Conference - December 2014","working group","enb12610e_2","03-Dec-14"
"Tuvalu|United States|Japan|Australia|Brazil|China|New Zealand","Mitigation","MITIGATION (paragraph 1(b)(i) of the BAP):","01-Oct-09","AWGs","","Group of 77|European Union","http://www.iisd.ca/vol12/enb12431e.html","Bangkok Climate Change Talks - 2009","","enb12431e_1","01-Oct-09"
"","","Papua New Guinea:","19-May-05","SOGE","","","http://www.iisd.ca/vol12/enb12261e.html","Seminar of Governmental Experts","","enb12261e_21","19-May-05"
"Nicaragua|Australia|Peru|Costa Rica|Pakistan|Bolivia|Cuba|Chile|Iraq|Papua New Guinea|Colombia|Tajikistan|Switzerland|Sudan|Ecuador|Indonesia|Malaysia|Algeria|Venezuela|Iran|China|Dominica|Panama|Saudi Arabia|El Salvador|Swaziland|Argentina|India|Philippines|Cyprus|Congo|Kuwait|Mali|Nauru|Gambia|Egypt|Guinea","Post-Kyoto Agreements 2","OPENING STATEMENTS:","27-Nov-12","COP 18","","Group of 77|Brazil, South Africa, India and China|Alliance of Small Island States|Central American Integration System|Umbrella Group|European Union|Environmental Integrity Group|Bolivarian Alliance For The Peoples Of Our America|League of Arab States|Coalition for Rainforest Nations|African Group","http://www.iisd.ca/vol12/enb12557e.html","Doha Climate Change Conference - November 2012","cop","enb12557e_6","27-Nov-12"
"","","WORKING GROUP REPORTS","26-Apr-02","Workshop","","","http://www.iisd.ca/vol12/enb12191e.html","Expert meeting on methodologies for technology needs assessments","","enb12191e_22","26-Apr-02"
"Australia|Peru|Kenya|Italy|Switzerland","","RESEARCH NEEDS RELATING TO THE CONVENTION","30-May-05","UNFCCC SB 22","","European Union","http://www.iisd.ca/vol12/enb12270e.html","United Nations Framework Convention on Climate Change: Twenty-Second Session of the Subsidiary Bodies","SBSTA","enb12270e_20","30-May-05"
"India","","PRESENTATION OF A CHILDREN`S CHARTER TO THE PRESIDENT","04-Nov-02","COP-8","","","http://www.iisd.ca/vol12/enb12209e.html","Eighth Conference of the Parties to the UN Framework Convention on Climate Change","","enb12209e_67","04-Nov-02"
"","","LDC Fund","01-Dec-08","COP 14","","","http://www.iisd.ca/vol12/enb12395e.html","UN Climate Change Conference - Poznań","","enb12395e_9","12-Dec-08"
"Australia|Canada|Peru","","REPORTING AND REVIEW OF INFORMATION FROM ANNEX I PARTIES UNDER THE PROTOCOL:","01-Dec-10","COP 16","","","http://www.iisd.ca/vol12/enb12489e.html","Cancún Climate Change Conference","sbi","enb12489e_11","01-Dec-10"
"Italy|Mexico","","TO BONN III AND BEYOND","01-Jun-09","SB 30","","","http://www.iisd.ca/vol12/enb12421e.html","Bonn Climate Change Talks - June 2009","","enb12421e_88","12-Jun-09"
"","","SBSTA Conclusions","01-Jun-09","SB 30","","","http://www.iisd.ca/vol12/enb12421e.html","Bonn Climate Change Talks - June 2009","","enb12421e_44","12-Jun-09"
"United Kingdom","","LAST STOP BEFORE CANCUN","04-Oct-10","AWGs","","","http://www.iisd.ca/vol12/enb12485e.html","Tianjin Climate Change Talks - October 2010","WORKING GROUP","enb12485e_30","09-Oct-10"
"United States|Malaysia|Japan|Ghana|Australia|Germany|Iceland|Canada|Trinidad and Tobago|Norway|China|New Zealand","Technology Transfer","DEVELOPMENT AND TRANSFER OF TECHNOLOGIES","30-May-05","UNFCCC SB 22","","Group of 77|Umbrella Group|European Union","http://www.iisd.ca/vol12/enb12270e.html","United Nations Framework Convention on Climate Change: Twenty-Second Session of the Subsidiary Bodies","SBI/SBSTA","enb12270e_16","30-May-05"
"Canada|Australia|United States|China","","IMPLEMENTATION OF DECISION 5/CP.7","07-Dec-03","UNFCCC COP-9","","Group of 77|European Union","http://www.iisd.ca/vol12/enb12227e.html","Ninth Conference of the Parties to the UN Framework Convention on Climate Change","","enb12227e_5","07-Dec-03"
"Spain|Algeria|Netherlands|Indonesia","UNFCCC and Kyoto Protocol Implementation","MATTERS RELATED TO FINANCE: Second Review of the Adaptation Fund","01-Dec-14","COP 20","","Least Developed Countries","http://www.iisd.ca/vol12/enb12619e.html","Lima Climate Change Conference - December 2014","","enb12619e_41","14-Dec-14"
"","UNFCCC and Kyoto Protocol Implementation","ADAPTATION FUND (COP/MOP)","07-Dec-10","COP 16","","","http://www.iisd.ca/vol12/enb12494e.html","Cancún Climate Change Conference","","enb12494e_1","07-Dec-10"
"","","Compliance:","03-Nov-01","COP-7","","","http://www.iisd.ca/vol12/enb12183e.html","Seventh Conference of the Parties to the UN Framework Convention on Climate Change","","enb12183e_4","03-Nov-01"
"","","IN THE CORRIDORS","13-Feb-95","11th Session of the INC","corridors","","http://www.iisd.ca/vol12/1206000e.html","Eleventh Session of The INC for the Framework Convention on Climate Change (UNFCCC)","cop","1206000e_7","13-Feb-95"
"France","","FRANCE","06-Apr-95","1st COP FCCC","","European Union","http://www.iisd.ca/vol12/1219000e.html","First Conference of the Parties to the Framework Convention on Climate Change","","1219000e_3","06-Apr-95"
"Iran|United Kingdom|Malaysia|Argentina|United States|Ghana|Zimbabwe|Australia|Canada|Slovenia|United Arab Emirates|China","Compliance and Enforcement","AD HOC GROUP ON ARTICLE 13","02-Jun-98","8th Session SBSTA & SBI, AG13 6","PLENARY","Group of 77|European Union","http://www.iisd.ca/vol12/enb1286e.html","Eighth Subsidiary Body for Scientific and Technological Advice (SBSTA) and the Subsidiary Body for Implementation (SBI)","WORKING GROUP","enb1286e_1","12-Jun-98"
"Niger|Nigeria|China|United States","","DEVELOPED/DEVELOPING","04-Nov-02","COP-8","","Organization of Petroleum Exporting Countries|Group of 77","http://www.iisd.ca/vol12/enb12209e.html","Eighth Conference of the Parties to the UN Framework Convention on Climate Change","COP","enb12209e_73","04-Nov-02"
"Brazil|Denmark|Belarus","","LULUCF under the CDM","14-May-12","SB 36","","European Union","http://www.iisd.ca/vol12/enb12546e.html","Bonn Climate Change Conference - May 2012","","enb12546e_34","25-May-12"
"Saudi Arabia|China","","ORGANIZATIONAL MATTERS","24-May-05","UNFCCC SB 22","","Group of 77","http://www.iisd.ca/vol12/enb12266e.html","United Nations Framework Convention on Climate Change: Twenty-Second Session of the Subsidiary Bodies","","enb12266e_4","24-May-05"
"Japan|Saint Lucia","","NATIONAL COMMUNICATIONS FROM NON-ANNEX I PARTIES :","28-Nov-11","COP17","","","http://www.iisd.ca/vol12/enb12534e.html","Durban Climate Change Conference - COP17/CMP7","","enb12534e_13","09-Dec-11"
"","","SBI Conclusions","28-Nov-11","COP17","","","http://www.iisd.ca/vol12/enb12534e.html","Durban Climate Change Conference - COP17/CMP7","","enb12534e_61","09-Dec-11"
"","","Realizing Potential and Benefits of Enhanced Energy Efficiency Policies in Urban Environments","06-Jun-15","SB 42","","","http://www.iisd.ca/vol12/enb12633e.html","Bonn Climate Change Conference - June 2015","","enb12633e_6","06-Jun-15"
"","","METHODOLOGICAL ISSUES","31-Oct-01","COP-7","","","http://www.iisd.ca/vol12/enb12180e.html","Seventh Conference of the Parties to the UN Framework Convention on Climate Change","sbsta","enb12180e_6","31-Oct-01"
"Japan|Samoa|Tanzania|United States|China","","POLICIES AND MEASURES","07-Jun-03","SB-18","","Group of 77|European Union","http://www.iisd.ca/vol12/enb12214e.html","18th Session of the Subsidiary Bodies","","enb12214e_18","07-Jun-03"
"Finland|France|Angola|Ghana","UNFCCC and Kyoto Protocol Implementation","Review of Clean Development Mechanism (CDM) modalities and procedures","11-Nov-13","COP 19","","","http://www.iisd.ca/vol12/enb12594e.html","Warsaw Climate Change Conference - November 2013","","enb12594e_46","23-Nov-13"
"","","CAPACITY BUILDING","28-Nov-11","COP17","","","http://www.iisd.ca/vol12/enb12534e.html","Durban Climate Change Conference - COP17/CMP7","","enb12534e_62","09-Dec-11"
"","","FINANCIAL MECHANISM","30-Nov-05","UNFCCC COP 11 and COP/MOP 1","","","http://www.iisd.ca/vol12/enb12282e.html","Eleventh session of the Conference of the Parties to the Climate Change Convention and first meeting of the Parties to the Kyoto Protocol","","enb12282e_23","30-Nov-05"
"India|Venezuela|United States|Japan|Chile|Brazil|Angola|South Africa|Algeria|Mexico|Oman|Tuvalu|Australia|Singapore|Saudi Arabia|Egypt|China|New Zealand","Mitigation","MITIGATION (sub-paragraph 1(b)(v) of the BAP)","07-Oct-09","AWGs","","European Union","http://www.iisd.ca/vol12/enb12436e.html","Bangkok Climate Change Talks - 2009","","enb12436e_3","07-Oct-09"
"Antigua and Barbuda|Japan","","CDM EXECUTIVE BOARD","12-Nov-01","COP-7","","","http://www.iisd.ca/vol12/enb12189e.html","Seventh Conference of the Parties to the UN Framework Convention on Climate Change","cop","enb12189e_70","12-Nov-01"
"","","Carbon capture and storage under the CDM","06-Jun-11","SB 34","","","http://www.iisd.ca/vol12/enb12513e.html","UN Climate Change Conference June 2011","","enb12513e_28","17-Jun-11"
"Gambia|Sweden","UNFCCC and Kyoto Protocol Implementation","CAPACITY BUILDING: Capacity Building Under the Convention","01-Dec-14","COP 20","","","http://www.iisd.ca/vol12/enb12619e.html","Lima Climate Change Conference - December 2014","","enb12619e_43","14-Dec-14"
"Germany","","IMPLEMENTATION OF THE HEADQUARTERS AGREEMENT:","07-May-07","SB 26","ISSUE","","http://www.iisd.ca/vol12/enb12333e.html","Twenty-sixth sessions of the Subsidiary Bodies (SB 26) of the United Nations Framework Convention on Climate Change (UNFCCC)","SBI","enb12333e_37","18-May-07"
"","","IN THE CORRIDORS","11-Jun-09","SB 30","corridors","","http://www.iisd.ca/vol12/enb12419e.html","Bonn Climate Change Talks - June 2009","","enb12419e_33","11-Jun-09"
"","","DIFFERENT APPROACHES TO ADDRESSING SYNERGIES AMONG MEAS","02-Jul-03","UNFCCC Workshop","","","http://www.iisd.ca/vol12/enb12220e.html","Workshop on synergies and cooperation with other conventions","SBI/SBSTA","enb12220e_3","04-Jul-03"
"Brazil|Canada|New Zealand|Algeria|Saudi Arabia|Argentina","","SPILLOVER EFFECTS:","02-Dec-08","COP 14","","European Union","http://www.iisd.ca/vol12/enb12386e.html","UN Climate Change Conference - Poznań","working group","enb12386e_11","02-Dec-08"
"","","SBI Conclusions","03-Dec-08","COP/MOP3","","","http://www.iisd.ca/vol12/enb12354e.html","United Nations Climate Change Conference - Bali","","enb12354e_62","15-Dec-08"
"","","ADMINISTRATIVE, FINANCIAL AND INSTITUTIONAL MATTERS:","28-Nov-11","COP17","","","http://www.iisd.ca/vol12/enb12534e.html","Durban Climate Change Conference - COP17/CMP7","","enb12534e_26","09-Dec-11"
"Mexico","","REPORT OF THE CANCUN CLIMATE CHANGE CONFERENCE","29-Nov-10","COP 16","","","http://www.iisd.ca/vol12/enb12498e.html","Cancún Climate Change Conference","","enb12498e_1","11-Dec-10"
"","","COP/MOP Decision","01-Dec-08","COP 14","","","http://www.iisd.ca/vol12/enb12395e.html","UN Climate Change Conference - Poznań","","enb12395e_63","12-Dec-08"
"Morocco|France","","ARRANGEMENTS FOR INTERGOVERNMENTAL MEETINGS","01-Jun-15","SB 42","","","http://www.iisd.ca/vol12/enb12638e.html","Bonn Climate Change Conference - June 2015","","enb12638e_56","11-Jun-15"
"","","SBSTA Conclusions","07-Dec-09","COP 15","","","http://www.iisd.ca/vol12/enb12459e.html","Copenhagen Climate Change Conference","","enb12459e_91","19-Dec-09"
"Spain|Sudan|Canada","","PROGRAMME AND BUDGET FOR 2009 TO 2014","21-Apr-09","IPCC-30","","","http://www.iisd.ca/vol12/enb12408e.html","Thirtieth Session of the IPCC","ipcc","enb12408e_26","23-Apr-09"
"Bangladesh|Nepal|Mali|Canada|Trinidad and Tobago","","SUBSIDIARY BODY FOR SCIENTIFIC AND TECHNOLOGICAL ADVICE","31-May-10","AWGs","","","http://www.iisd.ca/vol12/enb12472e.html","Bonn Climate Change Talks - May/June 2010","","enb12472e_68","11-Jun-10"
"Austria|Denmark|New Zealand|Norway|Japan|China|Australia|Slovenia|Bulgaria|Germany|Belgium","","PRESENTATIONS ON NATIONAL EXPERIENCES","10-Sep-04","UNFCCC Workshop","","European Union","http://www.iisd.ca/vol12/enb12243e.html","United Nations Framework Convention on Climate Change (UNFCCC) workshop on emissions projections from Parties included in Annex I of the UNFCCC","","enb12243e_1","10-Sep-04"
"Niger|Qatar|Oman|Algeria|Nigeria|China|Kuwait|Saudi Arabia|Egypt|Pakistan|United Arab Emirates","","ORGANIZATIONAL MATTERS","21-May-05","UNFCCC SB 22","","Group of 77|Alliance of Small Island States|Umbrella Group|European Union|Environmental Integrity Group|African Group","http://www.iisd.ca/vol12/enb12264e.html","United Nations Framework Convention on Climate Change: Twenty-Second Session of the Subsidiary Bodies","","enb12264e_2","21-May-05"
"Guyana|Samoa|Botswana","Technology Transfer","DEVELOPMENT AND TRANSFER OF TECHNOLOGY","08-Jun-00","SB12","","","http://www.iisd.ca/vol12/enb12130e.html","TWELFTH SESSION OF THE SUBSIDIARY BODIES OF THE UNFCCC","","enb12130e_2","08-Jun-00"
"","","AWG-KP Conclusions","02-Jun-08","SB-28","","","http://www.iisd.ca/vol12/enb12375e.html","Twenty-eighth Sessions of the UNFCCC Subsidiary Bodies, Second Session of the Ad Hoc Working Group Under the Convention, and fifth Session of the Ad Hoc Working Group Under the Kyoto Protocol","","enb12375e_12","13-Jun-08"
"New Zealand|Argentina|United States|Japan|Chile|Brazil|Germany|Finland|Canada|Austria|Sweden|United Kingdom|Netherlands|Saudi Arabia|Denmark|Norway|Switzerland|China|Saint Lucia","Anthropogenic Interference with Climate System","2.1: Key Drivers of Future Climate:","27-Oct-14","IPCC-40","","","http://www.iisd.ca/vol12/enb12607e.html","Fortieth session of the Intergovernmental Panel on Climate Change (IPCC-40)","","enb12607e_9","31-Oct-14"
"Canada|New Zealand|Japan|China|Australia|Micronesia|Mali|Saudi Arabia|United Kingdom|United Arab Emirates","","IMPLEMENTATION OF UNFCCC ARTICLE 4.8 AND 4.9","15-Dec-03","UNFCCC COP-9","","Group of 77|Alliance of Small Island States|European Union","http://www.iisd.ca/vol12/enb12231e.html","Ninth Conference of the Parties to the UN Framework Convention on Climate Change","","enb12231e_52","15-Dec-03"
"Belgium|Brazil|United States","","BRAZILIAN PROPOSAL:","15-May-06","UNFCCC SB 24","PLENARY","European Union|Alliance of Small Island States","http://www.iisd.ca/vol12/enb12306e.html","Twenty-Fourth sessions of the Subsidiary Body for Scientific and Technological Advice (SBSTA) and the Subsidiary Body for Implementation (SBI) of the UNFCCC and First session of the Ad Hoc Working Group on Further Commitments for Annex I Parties under the Kyoto Protocol (AWG) and related meetings","SBI/SBSTA","enb12306e_57","26-May-06"
"Saudi Arabia","UNFCCC and Kyoto Protocol Implementation","OTHER AGENDA ITEMS:","12-Nov-13","COP 19","","","http://www.iisd.ca/vol12/enb12584e.html","Warsaw Climate Change Conference - November 2013","sbi","enb12584e_9","12-Nov-13"
"Russia|Sudan|United Kingdom|Russian Federation|United States|Germany|Belgium|Saudi Arabia|Austria|Switzerland|China","","Evaluation of Climate Models","23-Sep-13","IPCC36","","","http://www.iisd.ca/vol12/enb12581e.html","Twelfth Session of Working Group I (WGI) of the Intergovernmental Panel on Climate Change (IPCC) and Thirty-sixth Session of the IPCC","","enb12581e_14","26-Sep-13"
"Brazil|Japan","","ACCEPTANCE OF THE ACTIONS TAKEN AT WGII-10","10-Mar-14","IPCC-38","","","http://www.iisd.ca/vol12/enb12596e.html","Tenth Session of the Intergovernmental Panel on Climate Change (IPCC) Working Group II (WGII-10) and Thirty-eighth Session of the IPCC (IPCC-38)","ipcc","enb12596e_19","14-Mar-14"
"","","FUTURE IPCC ACTIVITIES","21-Apr-09","IPCC-30","","","http://www.iisd.ca/vol12/enb12408e.html","Thirtieth Session of the IPCC","ipcc","enb12408e_2","23-Apr-09"
"Cameroon|Senegal|Gabon","","Observation Systems","09-Dec-05","UNFCCC COP 11 and COP/MOP 1","","","http://www.iisd.ca/vol12/enb12290e.html","Eleventh session of the Conference of the Parties to the Climate Change Convention and first meeting of the Parties to the Kyoto Protocol","","enb12290e_9","09-Dec-05"
"United Kingdom|United States|Italy|Australia|Morocco|Brazil|Canada|South Africa|Niger|Mexico|Mali|Spain|Norway|Switzerland|New Zealand","IPCC Governance","APPROVAL OF THE NEW IPCC COMMUNICATIONS STRATEGY:","06-Jun-12","IPCC-35","","","http://www.iisd.ca/vol12/enb12547e.html","Thirty-fifth Session of the Intergovernmental Panel on Climate Change (IPCC)","ipcc","enb12547e_12","09-Jun-12"
"Solomon Islands|Bangladesh|Nepal|China|Timor-Leste|Lesotho|Sierra Leone|Burkina Faso","","LDCs","31-May-10","AWGs","","Group of 77","http://www.iisd.ca/vol12/enb12472e.html","Bonn Climate Change Talks - May/June 2010","","enb12472e_43","11-Jun-10"
"","","Convention","11-Nov-06","COP/MOP2","","","http://www.iisd.ca/vol12/enb12312e.html","UN Climate Change Conference – Nairobi 2006","","enb12312e_11","11-Nov-06"
"","","SBI Conclusions","04-Nov-02","COP-8","","","http://www.iisd.ca/vol12/enb12209e.html","Eighth Conference of the Parties to the UN Framework Convention on Climate Change","","enb12209e_50","04-Nov-02"
"India|Bangladesh|United States|Japan|Canada|South Africa|Colombia|Norway|Switzerland|New Zealand","","WORKSTREAM 2","02-Sep-15","ADP 2-10","","Independent association of Latin America and the Caribbean","http://www.iisd.ca/vol12/enb12641e.html","Bonn Climate Change Conference - August 2015","","enb12641e_5","02-Sep-15"
"Japan|Saudi Arabia","","COMPLIANCE","01-Dec-05","UNFCCC COP 11 and COP/MOP 1","","African Group|European Union","http://www.iisd.ca/vol12/enb12283e.html","Eleventh session of the Conference of the Parties to the Climate Change Convention and first meeting of the Parties to the Kyoto Protocol","","enb12283e_13","01-Dec-05"
"United States","","NON-ANNEX I COMMUNICATIONS:","11-Dec-08","COP/MOP3","","","http://www.iisd.ca/vol12/enb12350e.html","United Nations Climate Change Conference - Bali","","enb12350e_11","11-Dec-08"
"Malaysia|Iran|Venezuela|Saudi Arabia|China","","SUBSIDIARY BODY FOR SCIENTIFIC AND TECHNICAL ADVICE","03-Jun-98","8th Session SBSTA & SBI","","Group of 77","http://www.iisd.ca/vol12/enb1278e.html","Eighth Subsidiary Body for Scientific and Technological Advice (SBSTA) and the Subsidiary Body for Implementation (SBI)","sbsta","enb1278e_2","03-Jun-98"
"Tuvalu|United States|Japan|Costa Rica|Australia|Grenada|Poland","","DATE AND VENUE OF FUTURE SESSIONS:","29-Nov-12","COP 18","","","http://www.iisd.ca/vol12/enb12559e.html","Doha Climate Change Conference - November 2012","COP","enb12559e_8","29-Nov-12"
"Australia|Peru","","PROTOCOL ARTICLE 3.14 (adverse effects and impacts of response measures)","01-Jun-10","AWGs","","","http://www.iisd.ca/vol12/enb12462e.html","Bonn Climate Change Talks - May/June 2010","sbi","enb12462e_21","01-Jun-10"
"Germany|Austria|Belgium|Norway","","What are the Gaps in Knowledge?","26-Sep-05","IPCC-24","","","http://www.iisd.ca/vol12/enb12275e.html","8th Session of WG-III and IPCC-24","","enb12275e_3","26-Sep-05"
"Mali|Indigenous Peoples|Canada","","ORGANIZATION OF WORK:","06-Dec-10","COP 16","","","http://www.iisd.ca/vol12/enb12493e.html","Cancún Climate Change Conference","sbsta","enb12493e_1","06-Dec-10"
"United States|Japan|Bolivia|Kuwait|Canada|Algeria|Turkey|Bulgaria|Libya|Nepal|Czech Republic|Tunisia|Egypt|Qatar|Portugal|Peru|China","","Discussion","17-Dec-04","UNFCCC COP-10","","Group of 77","http://www.iisd.ca/vol12/enb12259e.html","Tenth Conference of the Parties to the UN Framework Convention on Climate Change","","enb12259e_10","17-Dec-04"
"","","IN THE CORRIDORS","11-Jun-15","SB 42","corridors","","http://www.iisd.ca/vol12/enb12637e.html","Bonn Climate Change Conference - June 2015","","enb12637e_9","11-Jun-15"
"Malaysia|Belarus|Indonesia","","CLOSING PLENARY","26-Oct-09","IPCC-31","plenary","","http://www.iisd.ca/vol12/enb12441e.html","Thirty-First Session of the IPCC","ipcc","enb12441e_22","29-Oct-09"
"France|Switzerland","","ADMINISTRATIVE, FINANCIAL AND INSTITUTIONAL MATTERS:","09-May-07","SB 26","","European Union","http://www.iisd.ca/vol12/enb12324e.html","Twenty-sixth sessions of the Subsidiary Bodies (SB 26) of the United Nations Framework Convention on Climate Change (UNFCCC)","SBI","enb12324e_5","09-May-07"
"India|Sudan|Iran|United States|Chile|Senegal|Bolivia|Canada|Colombia|Saudi Arabia|Samoa|Tanzania|Norway|Switzerland|China|Honduras","Flexibility Mechanims","Clean Development Mechanism:","19-Jun-00","SB-12","","European Union|Alliance of Small Island States","http://www.iisd.ca/vol12/enb12137e.html","TWELFTH SESSION OF THE SUBSIDIARY BODIES OF THE UNFCCC","","enb12137e_27","19-Jun-00"
"Malta","","ORGANIZATIONAL MATTERS:","29-Sep-09","AWGs","","","http://www.iisd.ca/vol12/enb12429e.html","Bangkok Climate Change Talks - 2009","working group","enb12429e_9","29-Sep-09"
"Peru|Canada|Colombia|China","","METHODOLOGICAL ISSUES","02-Dec-05","UNFCCC COP 11 and COP/MOP 1","","European Union","http://www.iisd.ca/vol12/enb12284e.html","Eleventh session of the Conference of the Parties to the Climate Change Convention and first meeting of the Parties to the Kyoto Protocol","","enb12284e_10","02-Dec-05"
"","","CONTACT GROUPS AND INFORMAL CONSULTATIONS","04-Jun-99","10th Session SBSTA & SBI","GROUPS","","http://www.iisd.ca/vol12/enb12103e.html","Tenth Subsidiary Body for Scientific and Technological Advice (SBSTA) and the Subsidiary Body for Implementation (SBI)","SBI/SBSTA","enb12103e_3","04-Jun-99"
"Japan|Switzerland|United States|Fiji","","Work of the Consultative Group of Experts on Non-Annex I National Communications","04-Nov-02","COP-8","","European Union","http://www.iisd.ca/vol12/enb12209e.html","Eighth Conference of the Parties to the UN Framework Convention on Climate Change","","enb12209e_38","04-Nov-02"
"Swaziland|South Africa|Canada","National Communications & Inventories","WARSAW INTERNATIONAL MECHANISM FOR LOSS AND DAMAGE ASSOCIATED WITH CLIMATE CHANGE IMPACTS:","01-Dec-14","COP 20","","Alliance of Small Island States","http://www.iisd.ca/vol12/enb12619e.html","Lima Climate Change Conference - December 2014","","enb12619e_40","14-Dec-14"
"","","IN THE CORRIDORS","21-Aug-08","AWGs","corridors","","http://www.iisd.ca/vol12/enb12379e.html","Third session of the Ad Hoc Working Group on Long-term Cooperative Action and first part of the sixth session of the Ad Hoc Working Group on Further Commitments for Annex 1 Parties under the Kyoto Protocol to the UNFCCC","working group","enb12379e_6","21-Aug-08"
"Germany|Canada|Switzerland","","AGENDA ITEM 10 -- REVIEW OF ACTIVITIES OF THE INTERIM SECRETARIAT","13-Feb-95","11th Session of the INC","","European Union","http://www.iisd.ca/vol12/1206000e.html","Eleventh Session of The INC for the Framework Convention on Climate Change (UNFCCC)","","1206000e_4","13-Feb-95"
"Russia|Bangladesh|Pakistan|United States|Chile|Germany|Kenya|Belgium|Canada|Slovenia|Austria|Sweden|United Kingdom|Australia|Zambia|Saudi Arabia|Denmark|Norway|Switzerland|China|France","Flexibility Mechanims","CONSIDERATION OF THE DRAFT SUMMARY FOR POLICY MAKERS","23-Sep-05","IPCC-24","","","http://www.iisd.ca/vol12/enb12273e.html","8th Session of WG-III and IPCC-24","ipcc","enb12273e_3","23-Sep-05"
"United States|Japan|Australia|Brazil|Canada|South Africa|Sierra Leone|Mexico|Saudi Arabia|Tanzania|Turkey|Switzerland|China|Saint Lucia","Mitigation","CAPACITY BUILDING:","08-Oct-09","AWGs","","Group of 77|Alliance of Small Island States|European Union","http://www.iisd.ca/vol12/enb12437e.html","Bangkok Climate Change Talks - 2009","working group","enb12437e_5","08-Oct-09"
"Brazil|Cuba|Japan|China|Australia|Panama|Singapore","","SBSTA Conclusions","14-May-12","SB 36","","European Union","http://www.iisd.ca/vol12/enb12546e.html","Bonn Climate Change Conference - May 2012","","enb12546e_27","25-May-12"
"Austria|France|Sudan|United Kingdom|New Zealand","IPCC Governance","IPCC PROGRAMME AND BUDGET AND FINANCIAL PROCEDURES FOR THE IPCC","18-Nov-11","IPCC-34","","European Union","http://www.iisd.ca/vol12/enb12522e.html","Thirty-fourth Session of the Intergovernmental Panel on Climate Change (IPCC)","","enb12522e_11","19-Nov-11"
"India|Tuvalu|Sudan|Belize|Argentina|United States|Japan|Australia|South Africa|Mexico|Congo|United Arab Emirates|Norway|China|New Zealand","Adaptation","TECHNOLOGY","01-Jun-15","SB 42","","Group of 77|African Group|European Union|Alliance of Small Island States","http://www.iisd.ca/vol12/enb12638e.html","Bonn Climate Change Conference - June 2015","","enb12638e_8","11-Jun-15"
"","","SBSTA Conclusions","07-Dec-09","COP 15","","","http://www.iisd.ca/vol12/enb12459e.html","Copenhagen Climate Change Conference","","enb12459e_95","19-Dec-09"
"China","Legal Status of Agreeements","AWG-LCA:","10-Aug-09","AWGs","","Group of 77","http://www.iisd.ca/vol12/enb12427e.html","Bonn Climate Change Talks - August 2009","WORKING GROUP","enb12427e_37","14-Aug-09"
"","","SBI Conclusions","16-Jun-03","SB-18","","","http://www.iisd.ca/vol12/enb12219e.html","18th Session of the Subsidiary Bodies","","enb12219e_37","16-Jun-03"
"Russia|Canada|Ireland|United States|Russian Federation|Australia|Brazil|China","","LULUCF","14-Dec-04","UNFCCC COP-10","","Group of 77|European Union|Alliance of Small Island States","http://www.iisd.ca/vol12/enb12256e.html","Tenth Conference of the Parties to the UN Framework Convention on Climate Change","","enb12256e_4","14-Dec-04"
"India|South Africa|United States|Bolivia|Turkey|China|New Zealand","","DEVELOPED COUNTRIES:","02-Apr-09","AWGs","","Group of 77|European Union|Alliance of Small Island States","http://www.iisd.ca/vol12/enb12401e.html","Fifth session of the Ad Hoc Working Group on Long-term Cooperative Action under the UN Framework Convention on Climate Change (AWG-LCA 5) and Seventh session of the Ad Hoc Working Group on Further Commitments for Annex I Parties under the Kyoto Protocol (AWG-KP 7)","working group","enb12401e_2","02-Apr-09"
